img_name,img_size,start,stop,total,result
carrot.png,0,1670466240.6876483,1670466240.8544302,0.16678190231323242,goldfish-0.06944359838962555-172.17.2.14
pineapple.jpg,0,1670466241.0661552,1670466241.2686174,0.20246219635009766,pineapple-0.999477207660675-172.17.2.17
siamese.jpg,0,1670466241.455114,1670466241.6237338,0.16861987113952637,Siamese cat-0.999393105506897-172.17.2.23
iphone.jpg,0,1670466241.6372252,1670466241.7876532,0.15042805671691895,mouse-0.47014346718788147-172.17.2.14
pomeranian.jpg,0,1670466241.8007133,1670466241.9445977,0.14388442039489746,Pomeranian-0.7769503593444824-172.17.2.17
umbrella.jpg,0,1670466242.1412957,1670466242.3534732,0.21217751502990723,wing-0.7000333070755005-172.17.2.23
watermelon.png,0,1670466243.3824122,1670466243.9719393,0.5895271301269531,cucumber-0.28368282318115234-172.17.2.14
telephone.jpg,0,1670466243.984693,1670466244.2821171,0.2974240779876709,dial telephone-0.9997739195823669-172.17.2.17
goldfish.jpg,0,1670466246.536659,1670466247.019694,0.4830350875854492,goldfish-0.9999997615814209-172.17.2.23
laptop.jpg,0,1670466247.3099658,1670466247.4466782,0.13671231269836426,notebook-0.3534505069255829-172.17.2.14
tree.jpg,0,1670466247.6421547,1670466247.8493197,0.20716500282287598,lakeside-0.16053235530853271-172.17.2.17
husky.jpg,0,1670466247.8577826,1670466248.0321078,0.17432522773742676,Eskimo dog-0.4973216652870178-172.17.2.23
corgi.jpg,0,1670466248.407635,1670466248.527451,0.11981606483459473,Pembroke-0.9985149502754211-172.17.2.14
tabby.jpg,0,1670466249.3789344,1670466249.9297507,0.5508162975311279,Egyptian cat-0.6530365347862244-172.17.2.17
baseball.png,0,1670466250.0418413,1670466250.1979754,0.15613412857055664,baseball-0.9999098777770996-172.17.2.23
carrot.png,0,1670466250.5720096,1670466250.7255874,0.1535778045654297,slug-0.18868078291416168-172.17.2.14
pineapple.jpg,0,1670466251.097594,1670466251.3545964,0.2570023536682129,pineapple-0.9996840953826904-172.17.2.17
umbrella.jpg,0,1670466251.632342,1670466251.875505,0.2431628704071045,wing-0.79896479845047-172.17.2.23
siamese.jpg,0,1670466252.0719373,1670466252.244917,0.17297959327697754,Siamese cat-0.9983999133110046-172.17.2.14
watermelon.png,0,1670466257.5914297,1670466258.2176013,0.6261715888977051,strawberry-0.29131999611854553-172.17.2.17
pomeranian.jpg,0,1670466258.239827,1670466258.3821146,0.1422877311706543,Pomeranian-0.7808400392532349-172.17.2.23
goldfish.jpg,0,1670466260.6375513,1670466261.0346396,0.39708828926086426,goldfish-0.9999970197677612-172.17.2.14
iphone.jpg,0,1670466261.0536466,1670466261.2013311,0.14768457412719727,mouse-0.39748284220695496-172.17.2.17
husky.jpg,0,1670466261.214498,1670466261.3538308,0.13933277130126953,Eskimo dog-0.6199684739112854-172.17.2.23
laptop.jpg,0,1670466261.997337,1670466262.2667623,0.2694251537322998,notebook-0.605689525604248-172.17.2.14
tree.jpg,0,1670466262.5481877,1670466262.7408712,0.19268345832824707,lakeside-0.2103172093629837-172.17.2.17
baseball.png,0,1670466262.8507576,1670466262.9973965,0.1466388702392578,baseball-0.9999862909317017-172.17.2.23
corgi.jpg,0,1670466263.375285,1670466263.550748,0.17546319961547852,Pembroke-0.9961410164833069-172.17.2.14
telephone.jpg,0,1670466263.563529,1670466263.7039728,0.1404438018798828,dial telephone-0.9984436631202698-172.17.2.17
tabby.jpg,0,1670466264.5658655,1670466265.0572906,0.4914250373840332,Egyptian cat-0.46125563979148865-172.17.2.23
carrot.png,0,1670466265.2647986,1670466265.4321795,0.16738080978393555,slug-0.26302725076675415-172.17.2.14
pineapple.jpg,0,1670466265.7128725,1670466265.9033163,0.190443754196167,pineapple-0.9997819066047668-172.17.2.17
umbrella.jpg,0,1670466266.6291952,1670466266.8949785,0.26578330993652344,wing-0.7476593255996704-172.17.2.23
